city,day,facade,street_width_m,opposite_height_m,floor,direct_sun_h
Milan,winter,south,30,18,2,3
Milan,winter,south,30,18,3,5.7
Milan,winter,south,30,18,4,7.2
Milan,winter,south,30,18,5,8.2
Milan,winter,east_or_west,8,18,0,0.6
Milan,winter,east_or_west,8,18,1,0.8
Milan,winter,east_or_west,8,18,2,1
Milan,winter,east_or_west,8,18,3,1.3
Milan,winter,east_or_west,8,18,4,2
Milan,winter,east_or_west,8,18,5,3.3
Milan,winter,east_or_west,12,18,0,0.9
Milan,winter,east_or_west,12,18,1,1.2
Milan,winter,east_or_west,12,18,2,1.4
Milan,winter,east_or_west,12,18,3,1.8
Milan,winter,east_or_west,12,18,4,2.5
Milan,winter,east_or_west,12,18,5,3.6
Milan,winter,east_or_west,20,18,0,1.5
Milan,winter,east_or_west,20,18,1,1.7
Milan,winter,east_or_west,20,18,2,2.1
Milan,winter,east_or_west,20,18,3,2.5
Milan,winter,east_or_west,20,18,4,3.1
Milan,winter,east_or_west,20,18,5,3.8
Milan,winter,east_or_west,30,18,0,2
Milan,winter,east_or_west,30,18,1,2.3
Milan,winter,east_or_west,30,18,2,2.6
Milan,winter,east_or_west,30,18,3,3
Milan,winter,east_or_west,30,18,4,3.4
Milan,winter,east_or_west,30,18,5,3.9
Florence,spring,south,8,18,0,0
Florence,spring,south,8,18,1,0
Florence,spring,south,8,18,2,0
Florence,spring,south,8,18,3,11.7
Florence,spring,south,8,18,4,11.8
Florence,spring,south,8,18,5,11.8
Florence,spring,south,12,18,0,0
Florence,spring,south,12,18,1,0
Florence,spring,south,12,18,2,11.8
Florence,spring,south,12,18,3,11.8
Florence,spring,south,12,18,4,11.8
Florence,spring,south,12,18,5,11.8
Florence,spring,south,20,18,0,11.8
Florence,spring,south,20,18,1,11.8
Florence,spring,south,20,18,2,11.8
Florence,spring,south,20,18,3,11.8
Florence,spring,south,20,18,4,11.8
Florence,spring,south,20,18,5,11.8
Florence,spring,south,30,18,0,11.8
Florence,spring,south,30,18,1,11.8
Florence,spring,south,30,18,2,11.8
Florence,spring,south,30,18,3,11.8
Florence,spring,south,30,18,4,11.8
Florence,spring,south,30,18,5,11.8
Florence,spring,east_or_west,8,18,0,1.2
Florence,spring,east_or_west,8,18,1,1.4
Florence,spring,east_or_west,8,18,2,1.7
Florence,spring,east_or_west,8,18,3,2.3
Florence,spring,east_or_west,8,18,4,3.3
Florence,spring,east_or_west,8,18,5,4.9
Florence,spring,east_or_west,12,18,0,1.7
Florence,spring,east_or_west,12,18,1,2.1
Florence,spring,east_or_west,12,18,2,2.5
Florence,spring,east_or_west,12,18,3,3.2
Florence,spring,east_or_west,12,18,4,4
Florence,spring,east_or_west,12,18,5,5.2
Florence,spring,east_or_west,20,18,0,2.6
Florence,spring,east_or_west,20,18,1,3
Florence,spring,east_or_west,20,18,2,3.5
Florence,spring,east_or_west,20,18,3,4.1
Florence,spring,east_or_west,20,18,4,4.8
Florence,spring,east_or_west,20,18,5,5.5
Florence,spring,east_or_west,30,18,0,3.4
Florence,spring,east_or_west,30,18,1,3.8
Florence,spring,east_or_west,30,18,2,4.2
Florence,spring,east_or_west,30,18,3,4.6
Florence,spring,east_or_west,30,18,4,5.1
Florence,spring,east_or_west,30,18,5,5.7
Florence,summer,south,8,18,0,8.2
Florence,summer,south,8,18,1,8.2
Florence,summer,south,8,18,2,8.2
Florence,summer,south,8,18,3,8.2
Florence,summer,south,8,18,4,8.2
Florence,summer,south,8,18,5,8.2
Florence,summer,south,12,18,0,8.2
Florence,summer,south,12,18,1,8.2
Florence,summer,south,12,18,2,8.2
Florence,summer,south,12,18,3,8.2
Florence,summer,south,12,18,4,8.2
Florence,summer,south,12,18,5,8.2
Florence,summer,south,20,18,0,8.2
Florence,summer,south,20,18,1,8.2
Florence,summer,south,20,18,2,8.2
Florence,summer,south,20,18,3,8.2
Florence,summer,south,20,18,4,8.2
Florence,summer,south,20,18,5,8.2
Florence,summer,south,30,18,0,8.2
Florence,summer,south,30,18,1,8.2
Florence,summer,south,30,18,2,8.2
Florence,summer,south,30,18,3,8.2
Florence,summer,south,30,18,4,8.2
Florence,summer,south,30,18,5,8.2
Florence,summer,east_or_west,8,18,0,1.7
Florence,summer,east_or_west,8,18,1,2.1
Florence,summer,east_or_west,8,18,2,2.7
Florence,summer,east_or_west,8,18,3,3.4
Florence,summer,east_or_west,8,18,4,4.7
Florence,summer,east_or_west,8,18,5,6.6
Florence,summer,east_or_west,12,18,0,2.6
Florence,summer,east_or_west,12,18,1,3
Florence,summer,east_or_west,12,18,2,3.6
Florence,summer,east_or_west,12,18,3,4.4
Florence,summer,east_or_west,12,18,4,5.6
Florence,summer,east_or_west,12,18,5,7
Florence,summer,east_or_west,20,18,0,3.8
Florence,summer,east_or_west,20,18,1,4.3
Florence,summer,east_or_west,20,18,2,4.9
Florence,summer,east_or_west,20,18,3,5.6
Florence,summer,east_or_west,20,18,4,6.4
Florence,summer,east_or_west,20,18,5,7.2
Florence,summer,east_or_west,30,18,0,4.8
Florence,summer,east_or_west,30,18,1,5.2
Florence,summer,east_or_west,30,18,2,5.7
Florence,summer,east_or_west,30,18,3,6.2
Florence,summer,east_or_west,30,18,4,6.8
Florence,summer,east_or_west,30,18,5,7.4
Florence,autumn,south,8,18,0,0
Florence,autumn,south,8,18,1,0
Florence,autumn,south,8,18,2,0.3
Florence,autumn,south,8,18,3,11.8
Florence,autumn,south,8,18,4,11.8
Florence,autumn,south,8,18,5,11.8
Florence,autumn,south,12,18,0,0.2
Florence,autumn,south,12,18,1,1.1
Florence,autumn,south,12,18,2,11.8
Florence,autumn,south,12,18,3,11.8
Florence,autumn,south,12,18,4,11.8
Florence,autumn,south,12,18,5,11.8
Florence,autumn,south,20,18,0,11.8
Florence,autumn,south,20,18,1,11.8
